key,tr,en,ko,ar,zh-CN,zh-TW,ja,de,fr,es,it,nl,pt,vi,ru,id,th
home.intro9,* Kendi kendine öğrenen AI ajanı – Sürüş deneyiminizi geliştirmek ve avantajlarınızı en üst düzeye çıkarmak için sürekli gelişen bir yapay zeka.,"Self-learning AI Agent – An AI that continuously evolves, adapting to enhance your driving experience and maximize your benefits.","스스로 학습하는 AI 에이전트 – 지속적으로 진화하며 운전 경험을 최적화하고 최대한의 혜택을 제공합니다.
",* وكيل ذكاء اصطناعي ذاتي التعلم – ذكاء اصطناعي يتطور باستمرار ويتكيف لتعزيز تجربة القيادة الخاصة بك وتحقيق أقصى استفادة.,自我学习的 AI 代理 – 通过持续进化优化驾驶体验，并提供最多的优惠福利。,"自我學習的AI代理 – 透過持續進化精進駕駛體驗並提供最多的優惠福利。
",自己学習型 AI エージェント – 進化を続け、運転をより快適に、最大限のメリットを提供。,"Selbstlernender KI-Agent – Eine KI, die sich kontinuierlich weiterentwickelt, um dein Fahrerlebnis zu verbessern und deine Vorteile zu maximieren","Agent IA auto-apprenant – Une IA qui évolue en permanence, s'adaptant pour améliorer votre expérience de conduite et maximiser vos avantages.","* Agente de IA autoaprendiz – Una IA que evoluciona continuamente, adaptándose para mejorar tu experiencia de conducción y maximizar tus beneficios.","Un'intelligenza artificiale che si evolve continuamente, adattandosi per migliorare la tua esperienza di guida e massimizzare i tuoi profitti.",* Zelflerende AI-agent – Een AI die zich continu ontwikkelt en aanpast om je rijervaring te verbeteren en je voordelen te maximaliseren.,"Agente de IA autoaprendiz – Uma IA que evolui continuamente, adaptando-se para melhorar sua experiência de direção e maximizar seus benefícios.","AI tự học – Trí tuệ nhân tạo liên tục phát triển, thích nghi để nâng cao trải nghiệm lái xe và tối đa hóa lợi ích của bạn.","Самообучающийся ИИ-агент – ИИ, который постоянно развивается, адаптируясь для улучшения вашего опыта вождения.","Agen AI yang Belajar Sendiri – AI yang terus berkembang, beradaptasi untuk meningkatkan pengalaman berkendara Anda dan memaksimalkan manfaat Anda.",* AI ที่เรียนรู้เองได้ – ปัญญาประดิษฐ์ที่พัฒนาตัวเองอยู่เสมอเพื่อให้คุณสามารถขับขี่ได้ราบรื่นและได้รับประโยชน์สูงสุด
home.nav1,Ana Sayfa,Home,홈,الرئيسية,首页,"
首頁",ホーム,Startseite,Accueil,Inicio,Home,Home,Home,Trang chủ,Главная,Beranda,หน้าแรก
home.nav2,Bölümler,Chapters,챕터,الفصول,章节,章節,チャプター,Kapitel,Chapitres,Capítulos,Capitoli,Hoofdstukken,Capítulos,Các chương,Разделы,Bab,บท
home.nav3,Nasıl Satın Alınır,How to Buy,구매 방법,كيفية الشراء,购买指南,購買指南,購入方法,Wie man kauft,Comment acheter,Cómo comprar,Come acquistare,Hoe te Kopen,Como Comprar,Cách mua,Как купить,Cara Membeli,วิธีการซื้อ
home.nav4,Yol Haritası,Roadmap,로드맵,خارطة الطريق,发展规划,發展規劃,ロードマップ,Roadmap,Feuille de route,Hoja de ruta,Roadmap, Routekaart,Roteiro,Lộ trình,Дорожная карта,Peta Jalan,แผนที่
home.nav5,SSS,FAQ,FAQ,الأسئلة الشائعة,常见问题,常見問題,FAQ,FAQ,FAQ,Preguntas frecuentes,Domande frequenti, FAQ,FAQ,Câu hỏi thường gặp,Часто задаваемые вопросы,FAQ,คำถามที่พบบ่อย
home.nav6,Stakeleme,Staking,스테이킹,التخزين,质押,質押,ステーキング,Staking,Staking,Staking,Scommesse,Staking,Staking,Staking,Ставки,Staking,การสเตค
home.nav7,Referans,Referral,친구추천,الإحالة,推荐朋友,推薦朋友,友達紹介,Referral,Référencement,Referencias,Riferimenti,Verwijzing,Indicação,Giới thiệu,Реферал,Referal,การแนะนำ
home.nav8,G2E,"
G2E",G2E,G2E,G2E,G2E ,G2E,G2E,G2E,G2E,G2E,G2E,G2E,G2E,G2E,G2E,G2E
home.noWallet1,Cüzdana mı ihtiyacın var?,"Need a wallet?







","지갑이 필요하신가요?

",هل تحتاج إلى محفظة؟,"需要钱包吗？
","需要錢包嗎？
","ウォレットが必要ですか？
","Brauchst du ein Wallet?
","Besoin d'un portefeuille ?
","¿Necesitas un wallet?
","Hai bisogno di un portafoglio?
",Een wallet nodig?,Precisa de uma carteira?,Bạn cần ví?,Нужен кошелек?,"Butuh dompet?
",อยากสร้างกระเป๋าเงินใช่ไหม?
home.noWallet2,Cüzdana mı ihtiyacın var?,Need a wallet?,지갑이 필요하신가요?,هل تحتاج إلى محفظة؟,需要钱包吗？,"需要錢包嗎？
","ウォレットが必要ですか？
",Benötigst du ein Wallet?,Besoin d'un portefeuille ?,¿Necesitas un wallet?,Hai bisogno di un portafoglio?,Een wallet nodig?,Precisa de uma carteira?,Bạn cần ví?,Нужен кошелек?,Butuh dompet?,อยากสร้างกระเป๋าเงินใช่ไหม?
home.noWallet3,Trust Wallet kullanmanı öneririz. Trust'u indir ve hemen ön satışa katıl!,We suggest Trust Wallet. Simply Download Trust and Join the Presale,"Trust Wallet을 추천합니다. Trust을 다운로드하고 프리세일에 참여하세요.
",نوصي بـ محفظة Trust. ما عليك سوى تنزيل Trust والانضمام إلى البيع المسبق.,我们推荐使用 Trust Wallet。下载 Trust Wallet 后加入预购行列吧！,"我們推薦使用Trust Wallet。下載Trust Wallet後加入預購行列吧！

","Trust Wallet をお勧めします。Trust をダウンロードしてプリセールに参加しましょう。
",Wir empfehlen das Trust Wallet. Lade einfach Trust herunter und nimm am Presale teil.,Nous vous suggérons Trust Wallet. Téléchargez simplement Trust et rejoignez la prévente.,Te sugerimos Trust Wallet. Simplemente descarga Trust y únete a la preventa.,Ti suggeriamo Trust Wallet. Basta scaricare Trust e partecipare alla Prevendita.,Wij raden Trust Wallet aan. Download Trust en doe mee aan de voorverkoop.,Recomendamos a Trust Wallet. Basta baixar a Trust e participar da pré-venda.,Chúng tôi khuyên bạn nên sử dụng Trust Wallet. Chỉ cần tải Trust và tham gia đợt mua trước.,Мы рекомендуем использовать Trust Wallet. Просто скачайте Trust и присоединяйтесь к предпродаже.,"Kami menyarankan Trust Wallet. Cukup unduh Trust dan bergabunglah dalam presale.
",เราขอแนะนำ Trust Wallet เพียงดาวน์โหลด Trust และเข้าร่วมรอบพรีเซลล์ได้เลย 
home.noWallet4,1. PC veya mobil için Trust uygulamasını indirin,1. Download Trust App for PC or Mobile ,"1. PC 또는 모바일에서 Trust 앱을 다운로드
",1. قم بتنزيل تطبيق Trust لأجهزة الكمبيوتر أو الهواتف المحمولة,1. 在 PC 或移动设备上下载 Trust 应用程序,"1. 在PC或行動裝置上下載Trust應用程式
","1. PCまたはモバイルでTrustアプリをダウンロードしてください
",1. Laden Sie die Trust-App für PC oder Mobilgerät herunter,1. Téléchargez l'application Trust pour PC ou mobile,1. Descarga la aplicación Trust para PC o móvil,1. Scarica l'applicazione Trust per PC o cellulare. ,1. Download de Trust-app voor PC of mobiel,1. Baixe o aplicativo Trust para PC ou celular,1. Tải xuống ứng dụng Trust cho máy tính hoặc điện thoại,1. Загрузите приложение Trust для ПК или мобильного устройства,1. Unduh aplikasi Trust untuk PC atau ponsel,1. ดาวน์โหลดแอป Trust ในคอมพิวเตอร์หรือในโทรศัพท์มือถือ
home.noWallet5,2. Hesabını oluştur,2. Create your account,"2. 계정 생성
",2. أنشئ حسابك,2.创建您的账户,"2. 創建您的帳戶
","2.アカウントを作成
",2. Erstelle dein Konto,2. Créez votre compte,2. Crea tu cuenta,2. Crea il tuo account,2. Maak je account aan,2. Crie sua conta,2. Tạo tài khoản của bạn,2. Создайте свою учетную запись.,2. Buat akun Anda,2. สร้างบัญชีของคุณ
home.noWallet6,3. Kart veya kripto ile uygulama içinden satın al,3. Buy in-app with card or crypto,3. 앱 내에서 카드 또는 암호화폐로 구매,3. اشترِ داخل التطبيق باستخدام البطاقة أو العملات الرقمية,3. 在应用程序内使用银行卡或加密货币进行购买,3. 在應用程式內使用銀行卡或加密貨幣進行購買,3.アプリ内でカードまたは暗号通貨で購入,3. Kaufe direkt in der App mit Karte oder Krypto,3. Achetez dans l'application avec une carte ou des cryptomonnaies,3. Compra dentro de la aplicación con tarjeta o criptomonedas,3. Acquista in-app con carta o criptovaluta.,3. Koop in de app met kaart of crypto,3. Compre no aplicativo com cartão ou criptomoeda,3. Mua trong ứng dụng bằng thẻ hoặc tiền điện tử,3. Покупайте в приложении с помощью карты или криптовалюты.,3. Beli di aplikasi dengan kartu atau kripto,3. ซื้อในแอปด้วยบัตรหรือคริปโต
home.presaleJoin1,$GOCAR SATIN AL,"
BUY $GOCAR 


","$GOCAR 구매
",شراء $GOCAR,"购买 $GOCAR
","購買 $GOCAR
","$GOCAR 購入
","$GOCAR KAUFEN
","ACHETER $GOCAR
",COMPRAR $GOCAR,ACQUISTA $GOCAR ,KOOP $GOCAR,COMPRAR $GOCAR,"MUA $GOCAR
",КУПИТЬ $GOCAR,BELI $GOCAR,ซื้อ $GOCAR
home.presaleJoin2,Cüzdanı Bağla,Connect Wallet,지갑 연결,اتصل بالمحفظة,连接钱包,"連接錢包
","ウォレットを接続
",Wallet verbinden,Connecter le portefeuille,Conectar Wallet,Connetti il portafoglio,Verbind je Wallet,Conectar Carteira,Liên kết ví,Подключить кошелек,Hubungkan Dompet,เชื่อมต่อกระเป๋าเงิน
home.presaleJoin3,$GOCAR satın almak için cüzdanınızı bağlamanız gerekir. Lütfen aşağıdaki seçeneklerden birini seçin.,"In order to buy $GOCAR you need to connect your wallet, please select your wallet from the options below.","$GOCAR을 구매하려면 지갑을 연결해야 합니다. 아래 옵션에서 원하는 지갑을 선택하세요.

",لشراء $GOCAR، تحتاج إلى توصيل محفظتك، يرجى اختيار محفظتك من الخيارات أدناه.,如要购买 $GOCAR，需要连接您的钱包，请从以下选项中选择您想要连接的钱包。,"如要購買 $GOCAR，需要連接您的錢包，請從以下選項中選擇您想要連接的錢包。
","$GOCAR を購入するには、ウォレットを接続する必要があります。以下のオプションから希望するウォレットを選んでください。
","Um $GOCAR zu kaufen, musst du dein Wallet verbinden. Bitte wähle dein Wallet aus den unten stehenden Optionen aus.","Pour acheter $GOCAR, vous devez connecter votre portefeuille. Veuillez sélectionner votre portefeuille parmi les options ci-dessous.","Para comprar $GOCAR, necesitas conectar tu wallet, por favor selecciona tu wallet de las opciones abajo.",Per acquistare $GOCAR devi collegare il tuo portafoglio; seleziona il tuo portafoglio dalle opzioni sottostanti. ,"Om $GOCAR te kopen, moet je je wallet verbinden. Kies je wallet uit de onderstaande opties.","Para comprar $GOCAR, você precisa conectar sua carteira. Escolha uma das opções abaixo.","Để mua $GOCAR, bạn cần kết nối ví điện tử của mình, vui lòng chọn ví của bạn từ các tùy chọn dưới đây.","Чтобы купить $GOCAR, вам нужно подключить свой кошелек, пожалуйста, выберите свой кошелек из представленных вариантов.","Untuk membeli $GOCAR, Anda perlu menghubungkan dompet Anda. Silakan pilih dompet Anda dari opsi di bawah ini.",หากต้องการซื้อ $GOCAR คุณต้องเชื่อมต่อกระเป๋าเงินของคุณก่อน กรุณาเลือกกระเป๋าเงินจากตัวเลือกด้านล่าง
home.presaleJoin4,"Eğer zaten bir cüzdanınız varsa, aşağıdaki seçeneklerden istediğinizi seçin. Eğer cüzdanınız yoksa, Trust Wallet kullanmanızı öneririz. Trust Wallet’ı indirerek hemen ön satışa katılın.","If you already have a wallet, select your desired wallet from the options below. If you don't have a wallet, we suggest Trust Wallet. Simply Download Trust Wallet and Join the Presale","이미 지갑이 있다면, 아래 옵션에서 원하는 지갑을 선택하세요. 지갑이 없다면 Trust Wallet을 추천합니다. Trust Wallet을 다운로드하고 프리세일에 참여하세요.
",إذا كان لديك محفظة بالفعل، فاختر المحفظة التي تريدها من الخيارات أدناه. إذا لم يكن لديك محفظة، نوصي بـ محفظة Trust. ما عليك سوى تنزيل محفظة Trust والانضمام إلى البيع المسبق.,如果您已有钱包，请从以下选项中选择您想要使用的钱包。如果您还没有钱包，我们推荐使用 Trust Wallet。下载 Trust Wallet 后加入预购行列吧！,"如果您已有錢包，請從以下選項中選擇您想要使用的錢包。如果您還沒有錢包，我們推薦使用Trust Wallet。下載Trust Wallet後加入預購行列吧！
",すでにウォレットがある場合は、以下のオプションから希望するウォレットを選んでください。ウォレットがない場合は Trust Wallet をお勧めします。Trust Wallet をダウンロードしてプリセールに参加しましょう。,"Wenn du bereits ein Wallet hast, wähle dein gewünschte Wallet aus den unten stehenden Optionen. Falls du noch kein Wallet hast, empfehlen wir das Trust Wallet. Lade einfach das Trust Wallet herunter und nimm am Presale teil.","Si vous avez déjà un portefeuille, sélectionnez le portefeuille de votre choix parmi les options ci-dessous. Si vous n'avez pas de portefeuille, nous vous recommandons Trust Wallet. Il vous suffit de télécharger Trust Wallet et de rejoindre la prévente.","Si ya tienes un wallet, selecciona el wallet que desees de las opciones abajo. Si no tienes wallet, te sugerimos Trust Wallet. Simplemente descarga Trust Wallet y únete a la preventa.","Se hai già un portafoglio, seleziona quello che desideri dalle opzioni sottostanti. Se non hai un portafoglio, ti consigliamo Trust Wallet. Basta scaricare Trust Wallet e partecipare alla prevendita.
","Als je al een wallet hebt, selecteer dan je gewenste wallet. Heb je nog geen wallet? Wij raden Trust Wallet aan. Download eenvoudig Trust Wallet en doe mee aan de voorverkoop.","Se você já tem uma carteira, selecione a preferida entre as opções abaixo. Se não possui ainda, recomendamos a Trust Wallet. Basta baixá-la e participar da pré-venda.","Nếu bạn đã có ví, chọn ví bạn muốn từ các tùy chọn dưới đây. Nếu bạn chưa có ví, chúng tôi khuyên bạn sử dụng Trust Wallet. Chỉ cần tải Trust Wallet và tham gia đợt mua trước.","Если у вас уже есть кошелек, выберите желаемый из ниже представленных вариантов. Если у вас нет кошелька, мы рекомендуем использовать Trust Wallet. Просто скачайте Trust Wallet и присоединяйтесь к предпродаже.","Jika Anda sudah memiliki dompet, pilih dompet yang Anda inginkan dari opsi di bawah ini. Jika Anda belum memiliki dompet, kami menyarankan Trust Wallet. Cukup unduh Trust Wallet dan bergabunglah dalam presale.
 ",หากคุณมีกระเป๋าเงินอยู่แล้ว โปรดเลือกกระเป๋าเงินที่คุณต้องการจากตัวเลือกด้านล่าง หากยังไม่มี เราขอแนะนำ Trust Wallet เพียงดาวน์โหลด Trust Wallet และเข้าร่วมรอบพรีเซลล์ได้เลย
home.presaleJoin5,CÜZDANIM YOK,I DON'T HAVE A WALLET,지갑이 없습니다,ليس لدي محفظة,没有钱包,沒有錢包,ウォレットがありません,ICH HABE KEIN WALLET,JE N'AI PAS DE PORTEFEUILLE,NO TENGO UN WALLET,NON HO UN PORTAFOGLIO,IK HEB GEEN WALLET,NÃO POSSUO A CARTEIRA,TÔI CHƯA CÓ VÍ,У МЕНЯ НЕТ КОШЕЛЕКА,SAYA TIDAK PUNYA DOMPET,ฉันไม่มีกระเป๋าเงิน
home.presalePurchase1,$GOCAR ÖN SATIŞINI SATIN AL,BUY $GOCAR PRESALE,$GOCAR 프리세일 구매,شراء $GOCAR في البيع المسبق,预购 $GOCAR,預購$GOCAR ,$GOCAR プリセール購入,$GOCAR PRESALE KAUFEN,ACHETER $GOCAR PRÉVENTE,COMPRAR $GOCAR PRESALE,ACQUISTA $GOCAR IN PREVENDITA,"KOOP $GOCAR VOORVERKOOP
",COMPRAR PRÉ-VENDA $GOCAR,MUA TRƯỚC $GOCAR,КУПИТЬ $GOCAR ПРЕДПРОДАЖИ,BELI PRESALE $GOCAR,ซื้อ $GOCAR รอบพรีเซลล์
home.presalePurchase10,MAKS,MAX,MAX ,الحد الأقصى,MAX,MAX,MAX ,MAX,MAX,MÁXIMO,MASSIMO ,MAX,MÁX,TỐI ĐA,MAX ,MAKS,สูงสุด 
home.presalePurchase11,ALACAĞIN $GOCAR,"

$GOCAR YOU RECEIVE ",받을 $GOCAR,$GOCAR الذي ستتلقاه,您将获得 $GOCAR,您將獲得 $GOCAR,受け取る $GOCAR,"$GOCAR, DAS DU ERHÄLTST",$GOCAR QUE VOUS RECEVEZ,$GOCAR QUE RECIBES,"$GOCAR RICEVUTO 

",$GOCAR DIE JE ONTVANGT,$GOCAR QUE VOCÊ RECEBE,$GOCAR BẠN NHẬN,"$GOCAR, КОТОРЫЕ ВЫ ПОЛУЧИТЕ",$GOCAR YANG ANDA TERIMA,$GOCAR ที่คุณจะได้รับ
home.presalePurchase12,ÖN SATIŞ BONUS ÖDÜLLERİ,PRESALE BONUS REWARDS,프리세일 보너스 리워드,مكافآت البونص في البيع المسبق,预购奖励,預購獎勵,プリセールボーナスリワード,PRESALE-BONUSPRÄMIEN,RÉCOMPENSES BONUS DE PRÉVENTE,"RECOMPENSAS DE BONOS DE PREVENTA,",PREMI BONUS PER LA PREVENDITA,VOORVERKOOP BONUS BELONINGEN,BÔNUS DE RECOMPENSAS NA PRÉ-VENDA,PHẦN THƯỞNG THÊM CHO ĐỢT BÁN TRƯỚC,БОНУСЫ ПРЕДПРОДАЖ,BONUS REWARD PRESALE,รางวัลโบนัสรอบพรีเซลล์
home.presalePurchase13,$1.000 Üzeri: %5 Bonus,"Over $1,000 : 5% Bonus","$1,000 이상 구매 시: 5% 보너스","أكثر من $1,000 : ٥٪ مكافأة","购买金额超过 $1,000：5% 奖励","購買金額超過 $1,000：5% 獎勵","
$1,000 以上購入で：5% ボーナス",Über $1.000: 5% Bonus,Plus de 1 000 $ : 5% de bonus,"Más de $1,000: 5% de bono",Oltre 1000 dollari: bonus del 5%,Boven $1.000: 5% Bonus,Acima de $1.000: 5% de bônus,"Trên $1,000: 5% thưởng","Свыше $1,000: 5% Бонус","Lebih dari $1,000 : Bonus 5%","มากกว่า $1,000 : โบนัส 5%"
home.presalePurchase14,$2.000 Üzeri: %7 Bonus,Over $2000 : 7% Bonus,"$2,000 이상 구매 시: 7% 보너스","أكثر من $2,000 : ٧٪ مكافأة","购买金额超过 $2,000：7% 奖励","購買金額超過 $2,000：7% 獎勵","
$2,000 以上購入で：7% ボーナス",Über $2.000: 7% Bonus,Plus de 2 000 $ : 7% de bonus,"Más de $2,000: 7% de bono",Oltre 2000 dollari: 7% di bonus,Boven $2.000: 7% Bonus,Acima de $2.000: 7% de bônus,"Trên $2,000: 7% thưởng","Свыше $2,000: 7% Бонус","Lebih dari $2,000 : Bonus 7%","มากกว่า $2,000 : โบนัส 7%"
home.presalePurchase15,$10.000 Üzeri: %10 Bonus,"Over $10,000 : 10% Bonus","$10,000 이상 구매 시: 10% 보너스","أكثر من $10,000 : ١٠٪ مكافأة","购买金额超过 $10,000：10% 奖励","購買金額超過 $10,000：10% 獎勵","
$10,000 以上購入で：10% ボーナス",Über $10.000: 10% Bonus,Plus de 10 000 $ : 10% de bonus,"Más de $10,000: 10% de bono",Oltre 10.000 dollari: 10% di bonus,Boven $10.000: 10% Bonus,Acima de $10.000: 10% de bônus,"Trên $10,000: 10% thưởng","Свыше $10,000: 10% Бонус","Lebih dari $10,000 : Bonus 10%","มากกว่า $10,000 : โบนัส 10%"
home.presalePurchase16,Referans: %5 Bonus, Referral : 5% Bonus ,추천 보너스: 5% 보너스,الإحالة: ٥٪ مكافأة,好友推荐奖励：5% 奖励,好友推薦獎勵：5% 獎勵,"
推薦ボーナス：5% ボーナス",Referral: 5% Bonus,Référencement : 5% de bonus,Referido: 5% de bono,"Riferimento: 5% di bonus 









 ",Verwijzing: 5% Bonus,Indicação: 5% de bônus,Giới thiệu: 5% thưởng,Рефералы: 5% Бонус,Referal : Bonus 5%,การแนะนำ : โบนัส 5%
home.presalePurchase2,BİR SONRAKİ FİYAT ARTIŞINA KADAR,UNTIL NEXT PRICE INCREASE,다음 가격 인상까지,حتى الزيادة التالية في السعر,距离下次价格上涨还有,"距離下次價格上漲還有
",次の価格上昇まで,BIS ZUR NÄCHSTEN PREISERHÖHUNG,JUSQU'À LA PROCHAINE AUGMENTATION DU PRIX,HASTA EL PRÓXIMO AUMENTO DE PRECIO,FINO AL PROSSIMO AUMENTO DI PREZZO,TOT DE VOLGENDE PRIJSSTIJGING,ATÉ O PRÓXIMO AUMENTO DE PREÇO,CHO ĐẾN KHI GIÁ TĂNG THÊM,ДО СЛЕДУЮЩЕГО ПОВЫШЕНИЯ ЦЕНЫ,HINGGA KENAIKAN HARGA BERIKUTNYA,จนกว่าจะถึงการปรับขึ้นราคาครั้งต่อไป
home.presalePurchase3,Gün,Days,일,أيام,天,天,日,Tage,Jours,Días,"Giorni
",Dagen,Dias,Ngày,Дни,Hari,วัน
home.presalePurchase4,Saat,Hours,시,ساعات,小时,小時,時間,Stunden,Heures,Horas,ore,Uren,Horas,Giờ,Часы,Jam,ชั่วโมง
home.presalePurchase5,Dakika,Minutes,분,دقائق,分钟,分鐘,分,Minuten,Minutes,Minutos,minuti,Minuten,Minutos,Phút,Минуты,Menit,นาที
home.presalePurchase6,Saniye,Seconds ,초,ثوانٍ,秒,秒,秒,Sekunden,Secondes,Segundos,secondi ,Seconden,Segundos,Giây,Секунды,Detik,วินาที
home.presalePurchase7,SATIN ALDIĞINIZ $GOCAR,YOUR PURCHASED $GOCAR,구매한 $GOCAR,$GOCAR الذي اشتريته،,您已购买的 $GOCAR,"您已購買的 $GOCAR
","購入した $GOCAR
","DEIN GEKAUFTES $GOCAR,","VOTRE $GOCAR ACHETÉ,",TU $GOCAR COMPRADO,IL TUO $GOCAR ACQUISTATO ,"JE GEKOCHTE $GOCAR,",SEU $GOCAR COMPRADO,"$GOCAR BẠN ĐÃ MUA,","$GOCAR, КОТОРЫЕ ВЫ ПРИОБРЕЛИ",$GOCAR YANG TELAH ANDA BELI,$GOCAR ที่คุณซื้อ
home.presalePurchase8,STAKING YAPILABİLİR $GOCAR,YOUR STAKEABLE $GOCAR ,스테이킹 가능한 $GOCAR,$GOCAR القابل للتخزين,您可质押的 $GOCAR,您可質押的 $GOCAR,ステーキング可能な $GOCAR,DEIN STAKEFÄHIGES $GOCAR,VOTRE $GOCAR STAKABLE,TU $GOCAR PARA STAKEAR,LA TUA $GOCAR PUÒ ESSERE PUNTATA ,JE STAKEBARE $GOCAR,SEU $GOCAR PARA STAKING,$GOCAR CÓ THỂ ĐÓNG CỌC,"$GOCAR, НА СТАВКАХ",$GOCAR YANG DAPAT ANDA STAKE,$GOCAR ที่คุณสเตคได้
home.presalePurchase9,{0} İLE ÖDE,PAY WITH {0},{0} 결제,العربية: ادفع باستخدام {0},使用 {0} 支付,使用 {0} 支付,{0} で支払い,ZAHLUNG MIT {0},PAYER AVEC {0},PAGA CON {0},PAGA CON {0},BETAAL MET {0},PAGUE COM {0},THANH TOÁN VỚI {0},ОПЛАЧИВАЙТЕ С ПОМОЩЬЮ {0},BAYAR DENGAN {0},ชำระด้วย {0}
home.whitepaper1,WHITEPAPER,WHITEPAPER,백서,الورقة البيضاء,白皮书,白皮書,ホワイトペーパー,WHITEPAPER,WHITEPAPER,WHITEPAPER,CARTA BIANCA,WHITEPAPER,WHITEPAPER,WHITEPAPER,"1-1)
WHITEPAPER",WHITEPAPER,ไวท์เปเปอร์
howToBuy.a1,GOCAR Token Nasıl Satın Alınır?,"How To Buy GOCAR Token


",GOCAR 토큰 구매 방법,كيفية شراء رمز $GOCAR,如何购买 GOCAR 代币,如何購買 GOCAR 代幣,GOCAR トークン購入方法,Wie man den GOCAR-Token kauft,Comment acheter le token GOCAR,Cómo comprar el token GOCAR,Come acquistare il token GOCAR,Hoe koop je GOCAR Token,Como Comprar o Token GOCAR,Cách Mua Token GOCAR,Как купить токен GOCAR,Cara Membeli Token GOCAR,วิธีการซื้อ GOCAR Token
howToBuy.b1,Cüzdan Edinin,"
Get Wallet
","지갑 생성하기
",احصل على محفظة,2) 创建钱包,"創建錢包
","ウォレットの作成
",Wallet erhalten,Obtenez un portefeuille,Obtén un monedero,Ottieni un portafoglio,Wallet verkrijgen,Obtenha uma Carteira,Lấy Ví,Получите кошелек, Siapkan Dompet,สร้างกระเป๋าเงิน
howToBuy.b2,"Guardians'ın zaten cüzdanı var mı? 🤔 Yoksa, Trust Wallet ya da herhangi bir popüler cüzdan uygulamasını deneyin.","Do Guardians already have wallets? 🤔 But if not, try Trust Wallet or any popular wallet app.","가디언들은 이미 지갑이 있나요? 🤔 만약 없다면, Trust Wallet 또는 인기 있는 지갑 앱을 사용해보세요.",هل يمتلك الحراس محافظ بالفعل؟ 🤔 لكن إن لم يكن لديك واحدة، جرّب محفظة Trust أو أي تطبيق محفظة شهير آخر.,守护者们已经有钱包了吗？🤔 如果还没有，可以尝试使用 Trust Wallet 或其他主流的钱包应用程序。,守護者們已經有錢包了嗎？🤔 如果還沒有，可以嘗試使用 Trust Wallet或其他主流的錢包應用程序。,ガーディアンの皆様はすでにウォレットをお持ちですか？ 🤔 まだお持ちでない方は、Trust Wallet または人気のあるウォレットアプリをお試しください。,"Haben die Guardians bereits Wallets? 🤔 Falls nicht, probiere Trust Wallet oder eine andere beliebte Wallet-App aus","Les Guardians ont-ils déjà un portefeuille ? 🤔 Sinon, essayez Trust Wallet ou toute autre application de portefeuille populaire.","¿Los Guardians ya tienen monederos? 🤔 Si no, prueba Trust Wallet o cualquier aplicación de monedero popular.","I Guardiani hanno già un portafoglio? 🤔 Ma se così non fosse, prova Trust Wallet o qualsiasi altra app di portafoglio popolare.","Hebben Guardians al een wallet? 🤔 Zo niet, probeer dan Trust Wallet of een andere populaire wallet-app.","Os Guardians já possuemcarteiras? 🤔 Mas, se não tiver, experimente a Trust Wallet ou qualquer outro aplicativo de carteira popular.","Các Vệ Binh đã có ví chưa? 🤔 Nếu chưa, thử sử dụng Trust Wallet hoặc bất kỳ ứng dụng ví nào khác nhé.","Уже есть кошелек, Guardians? 🤔 Если нет, попробуйте Trust Wallet или любое популярное приложение для кошелька.","Apakah Guardians sudah memiliki dompet? 🤔 Jika belum, coba gunakan Trust Wallet atau aplikasi dompet populer lainnya.",เหล่า Guardians มีกระเป๋าเงินกันหรือยัง? 🤔 ถ้ายังไม่มีขอแนะนำ Trust Wallet หรือลองใช้กระเป๋าเงินแอปอื่นดูได้
howToBuy.c1,Cüzdanı Fonla,"Fund Wallet

","지갑 충전하기
",تمويل المحفظة,充值钱包,"充值錢包
","ウォレットのチャージ
","Wallet aufladen
",Alimenter le portefeuille,Cargar el monedero,"Portafoglio del fondo
",Wallet financieren,Abasteça sua Carteira,Nạp Tiền Vào Ví,Пополните кошелек, Isi Saldo Dompet,เติมเงินในกระเป๋าเงิน
